#id	CHR
cg00298951	12
cg00301864	12
cg00302793	4
cg00303548	13
cg00304278	*
cg00307685	1
cg00308133	19
cg00308665	13
cg00309056	7
cg00309204	17
cg00311768	8
cg00312919	7
cg00314943	2
cg00315936	7
cg00317680	8
cg00318573	20
cg00318865	12
cg00319692	8
cg00319761	16
cg00320243	19
cg00321065	1
cg00321478	1
cg00323915	7
cg00324733	11
cg00325491	11
cg00327185	11
cg00327483	1
cg00328227	1
cg00331237	12
cg00331433	X
cg00332153	4
cg00332745	16
cg00333226	7
cg00333528	6
cg00334507	16
cg00335286	18
cg00336605	19
cg00338702	12
cg00338893	7
cg00340102	20
cg00342530	9
cg00343092	22
cg00344358	12
cg00344372	4
cg00344709	21
cg00346145	4
cg00347729	11
cg00347904	6
cg00350296	11
cg00350478	6
cg00350702	20
cg00351011	19
cg00353953	12
cg00354258	19
cg00354572	12
cg00355802	8
cg00359325	3
cg00359973	X
cg00363813	12
cg00364344	11
cg00364814	12
cg00365193	*
cg00367281	8
cg00367438	7
cg00368022	5
cg00368415	1
cg00371195	11
cg00374717	17
cg00375964	4
cg00376639	19
cg00380464	6
cg00381076	18
cg00382515	2
cg00382991	*
cg00384537	17
cg00386408	5
cg00387170	6
cg00392257	1
cg00393585	4
cg00394658	11
cg00396163	2
cg00396894	2
cg00397545	19
cg00397740	1
cg00398048	4
cg00399483	18
cg00400028	3
cg00400263	20
cg00401678	19
cg00402366	1
cg00403724	X
cg00404599	X
cg00405070	12
cg00405568	17
cg00405677	5
cg00406188	1
cg00406844	22
cg00407150	3
cg00410419	13
cg00410576	15
cg00410831	19
cg00410895	1
cg00410898	8
cg00410921	*
cg00411097	7
cg00412772	19
cg00412805	3
cg00413066	15
cg00415164	11
cg00415494	*
cg00415978	4
cg00415993	5
cg00417297	3
cg00418150	11
cg00419564	1
cg00420568	9
cg00420715	8
cg00420929	19
cg00422913	17
cg00424946	16
cg00425710	16
cg00425792	17
cg00426056	6
cg00426498	17
cg00426963	9
cg00427635	15
cg00429618	9
cg00430287	6
cg00430945	19
cg00431050	10
cg00431114	20
cg00431549	12
cg00432979	13
cg00433406	1
cg00434413	X
cg00435408	16
cg00436282	4
cg00436301	6
cg00436603	10
cg00441136	20
cg00441382	15
cg00443307	12
cg00445824	19
cg00446235	1
cg00447208	17
cg00448720	13
cg00449941	17
cg00451635	16
cg00453193	7
cg00453258	10
cg00459975	8
cg00461841	16
cg00462311	14
cg00462994	17
cg00463202	13
cg00463577	6
cg00463848	12
cg00464269	17
cg00465284	2
cg00465846	8
cg00466249	17
cg00466436	20
cg00466492	19
cg00466544	14
cg00468146	6
cg00469635	11
cg00471562	10
cg00472136	12
cg00472814	21
cg00474004	9
cg00474209	6
cg00475955	9
cg00476577	20
cg00476580	1
cg00479269	2
cg00480115	19
cg00480209	17
cg00480356	15
cg00481227	20
cg00483154	5
cg00485296	16
cg00485380	7
cg00487159	16
cg00488300	*
cg00488364	X
cg00488718	4
cg00489401	5
cg00491404	1
cg00491839	19
cg00493400	2
cg00495415	12
cg00495442	20
cg00495491	*
cg00496170	14
cg00497084	X
cg00497251	2
cg00498305	10
cg00498604	4
cg00499599	21
cg00499822	10
cg00500400	22
cg00501366	17
cg00502442	6
cg00503458	1
cg00503840	7
cg00504595	13
cg00509616	15
cg00509670	14
cg00510787	6
cg00510956	1
cg00511475	16
cg00512031	4
cg00512279	10
cg00512374	17
cg00513220	1
cg00513467	9
cg00514407	2
cg00514895	4
cg00515905	1
cg00516481	21
cg00518911	7
cg00518989	22
cg00519208	1
cg00519627	16
cg00520135	15
cg00520708	5
cg00521434	1
cg00521598	1
cg00522034	3
cg00522316	19
cg00524288	7
cg00528052	1
cg00528967	13
cg00532335	10
cg00532890	1
cg00534274	4
cg00534856	*
cg00536175	X
cg00537910	2
cg00539322	2
cg00539716	2
cg00539955	22
cg00540544	1
cg00540769	5
cg00542846	21
cg00544557	21
cg00545573	12
cg00546491	7
cg00546897	21
cg00547018	16
cg00547789	X
cg00547829	17
cg00548060	1
cg00548268	7
cg00550617	17
cg00551244	8
cg00554173	20
cg00554250	11
cg00554682	2
cg00554702	11
cg00556408	22
cg00557354	13
cg00559473	12
cg00560119	9
cg00563229	1
cg00563845	3
cg00563926	1
cg00563932	9
cg00564163	7
cg00565075	22
cg00565688	1
cg00566759	18
cg00567479	2
cg00567749	5
cg00568128	10
cg00568792	11
cg00569620	3
cg00571634	3
cg00572797	*
cg00573606	2
cg00575744	6
cg00576250	20
cg00577167	9
cg00577464	7
cg00578575	*
cg00579393	2
cg00579402	19
cg00581156	5
cg00582372	X
cg00582628	8
cg00584022	12
cg00585790	2
cg00585846	6
cg00586909	6
cg00587613	11
cg00592315	14
cg00594118	9
cg00594952	1
cg00596686	X
cg00597076	17
cg00598858	19
cg00600110	X
cg00600684	10
cg00601486	12
cg00602891	17
cg00603172	2
cg00605270	1
cg00609097	1
cg00611397	20
cg00612467	4
cg00613255	11
cg00613344	1
cg00614413	19
cg00615241	19
cg00615377	22
cg00615915	18
cg00616129	12
cg00616135	15
cg00616369	2
cg00617305	1
cg00618396	X
cg00619207	1
cg00620024	9
cg00620223	1
cg00620629	6
cg00620857	14
cg00622552	15
cg00622677	4
cg00623593	10
cg00625425	1
cg00625653	3
cg00626119	1
cg00626466	12
cg00627233	2
cg00627286	4
cg00629217	4
cg00629585	9
cg00630164	1
cg00630249	1
cg00630583	12
cg00631230	12
cg00633969	3
cg00634577	*
cg00635481	6
cg00636639	9
cg00638514	17
cg00642303	3
cg00643392	19
cg00644033	7
cg00645224	*
cg00645579	11
cg00645922	5
cg00646140	X
cg00646492	10
cg00647741	19
cg00648153	6
cg00648883	13
cg00650762	1
cg00650876	1
cg00651216	6
cg00653387	7
cg00654814	17
cg00654816	4
cg00655307	6
cg00655779	2
cg00657095	6
cg00657582	14
cg00658007	1
cg00658626	12
cg00659129	8
cg00659953	16
cg00660989	14
cg00661202	3
cg00661485	5
cg00662556	18
cg00662775	X
cg00665395	2
cg00666446	1
cg00666746	19
cg00668685	12
cg00669623	1
cg00669856	4
cg00671161	13
cg00672638	5
cg00673020	X
cg00673191	21
cg00674922	3
cg00676660	3
cg00677811	7
cg00678539	15
cg00679556	6
cg00679738	1
cg00682653	14
cg00684178	2
cg00685836	12
cg00686022	12
cg00686623	11
cg00687674	15
cg00687686	16
cg00688421	4
cg00689010	1
cg00689014	17
cg00689340	2
cg00690049	X
cg00690280	20
cg00690893	X
cg00691625	9
cg00691822	X
cg00692549	1
cg00693307	11
cg00695416	21
cg00696900	2
cg00698688	19
cg00702231	6
cg00702729	7
cg00704310	19
cg00704909	11
cg00705255	*
cg00706536	17
cg00707317	1
cg00708598	13
cg00708642	14
cg00711916	2
cg00712898	1
cg00714377	20
cg00717862	3
cg00718440	9
cg00718513	2
cg00718748	17
cg00720072	10
cg00720137	16
cg00720723	2
cg00722300	19
cg00724662	11
cg00725143	*
cg00725635	1
cg00725777	X
cg00727590	22
cg00727947	19
cg00728317	16
cg00728398	1
cg00728602	6
cg00729275	18
cg00729541	9
cg00729708	15
cg00729875	1
cg00730260	12
cg00731459	2
cg00733682	19
cg00734993	6
cg00736326	7
cg00737514	4
cg00739120	19
cg00741717	X
cg00743372	6
cg00744433	21
cg00745543	12
cg00745735	10
cg00746083	14
cg00746130	6
cg00746981	1
cg00747849	22
cg00750606	1
cg00751288	5
cg00754253	11
cg00754617	19
cg00755043	9
cg00755709	9
cg00756058	13
cg00756887	1
cg00757070	11
cg00757952	22
cg00761755	17
cg00762512	4
cg00763679	2
cg00763889	11
cg00766729	19
cg00766889	10
cg00767581	2
cg00768439	X
cg00769470	20
cg00769520	12
cg00770279	19
cg00770871	12
cg00772000	6
cg00775197	6
cg00777121	3
cg00777555	3
cg00778920	11
cg00779924	10
cg00782174	19
cg00782854	20
cg00783759	4
cg00784357	7
cg00791249	19
cg00792687	8
cg00792740	15
cg00792849	15
cg00793648	14
cg00793774	10
cg00795268	11
cg00795812	2
cg00796728	11
cg00798206	3
cg00799727	X
cg00800095	X
cg00804048	17
cg00804392	4
cg00806490	16
cg00807586	3
cg00808492	1
cg00810473	15
cg00810495	1
cg00811081	12
cg00812502	22
cg00814580	19
cg00815440	19
cg00815583	8
cg00815605	*
cg00816620	1
cg00818693	3
cg00818872	1
cg00819310	1
cg00819362	19
cg00819696	12
cg00821764	3
cg00822607	16
cg00823148	2
cg00824109	12
cg00825031	8
cg00826384	7
cg00827369	7
cg00828602	3
cg00830029	12
cg00830393	3
cg00831028	20
cg00832517	14
cg00832994	1
cg00833393	9
cg00833777	16
cg00834796	5
cg00834958	7
cg00836605	7
cg00837103	20
cg00838150	3
cg00839584	2
cg00839802	6
cg00840403	16
cg00840516	3
cg00841581	3
cg00842351	9
cg00845900	7
cg00846036	11
cg00848394	3
cg00848397	17
cg00848461	5
cg00848728	1
cg00849368	5
cg00850538	2
cg00852964	6
cg00853068	17
cg00854637	16
cg00854995	5
cg00856375	2
cg00858899	11
cg00859193	13
cg00859655	11
cg00861635	16
cg00862041	X
cg00862290	3
cg00862770	6
cg00864867	12
cg00870662	18
cg00871453	8
cg00873037	8
cg00873937	10
cg00874863	X
cg00875272	1
cg00876704	19
cg00877887	15
cg00877964	2
cg00881086	3
cg00881370	19
cg00882451	16
cg00882832	4
cg00884221	4
cg00884529	7
cg00885506	9
cg00886554	4
cg00887101	11
cg00887547	12
cg00887700	12
cg00888007	12
cg00888479	20
cg00888561	13
cg00890257	14
cg00891278	3
cg00891541	16
cg00892393	16
cg00892798	17
cg00893242	7
cg00893636	3
cg00893987	6
cg00894577	X
cg00895324	21
cg00896220	*
cg00897329	6
cg00899086	4
cg00899641	2
cg00899659	10
cg00901493	17
cg00901652	11
cg00901683	7
cg00901704	17
cg00901766	19
cg00902195	12
cg00903242	3
cg00903375	7
cg00904483	10
cg00904574	1
cg00905170	8
cg00906183	17
cg00908551	11
cg00910067	19
cg00910168	12
cg00911351	5
cg00911873	7
cg00912191	5
cg00912942	1
cg00915206	2
cg00915289	1
cg00916199	5
cg00916635	1
cg00917893	3
cg00918005	2
cg00918794	15
cg00919857	15
cg00920960	X
cg00922727	6
cg00925229	11
cg00925717	16
cg00929606	7
cg00929855	6
cg00930078	1
cg00930194	5
cg00930873	15
cg00931491	16
cg00932276	X
cg00933411	8
cg00935364	11
cg00935388	14
cg00935430	1
cg00936626	3
cg00939965	X
cg00940278	18
cg00940891	4
cg00941229	1
cg00941549	X
cg00943245	5
cg00943909	20
cg00943950	5
cg00945507	7
cg00945862	2
cg00947019	7
cg00947275	X
cg00948500	21
cg00948524	17
cg00949442	16
cg00949554	2
cg00950418	7
cg00950621	15
cg00951770	14
cg00953256	11
cg00953277	17
cg00954003	2
cg00954566	10
cg00955230	7
cg00955451	15
cg00958517	16
cg00958560	4
cg00960702	19
cg00962459	2
cg00962635	X
cg00962799	X
cg00964109	15
cg00967316	7
cg00968475	X
cg00968931	19
cg00969271	9
cg00969446	7
cg00970325	3
cg00970385	13
cg00971396	3
cg00973286	12
cg00973334	12
cg00973677	7
cg00974864	1
cg00976054	17
cg00977690	X
cg00979348	4
cg00980978	20
cg00981643	X
cg00983520	22
cg00983899	11
cg00984602	6
cg00986320	5
cg00987015	11
cg00987379	8
cg00988256	19
cg00995065	12
cg00995152	9
cg00995327	3
cg00995520	1
cg00997424	10
cg01000094	11
cg01001286	15
cg01003992	*
cg01007201	12
cg01009664	3
cg01013324	17
cg01015871	16
cg01015879	11
cg01017147	1
cg01021485	15
cg01025762	7
cg01025842	16
cg01026744	4
cg01027739	9
cg01027805	14
cg01029592	17
cg01031251	1
cg01031400	8
cg01033160	19
cg01033938	11
cg01035238	2
cg01035422	15
cg01036012	10
cg01036148	1
cg01036173	9
cg01036779	19
cg01037108	5
cg01040062	17
cg01040759	2
cg01040850	1
cg01041367	8
cg01043330	11
cg01043831	4
cg01044662	2
cg01044722	17
cg01045423	1
cg01046174	2
cg01047414	10
cg01048931	7
cg01049530	4
cg01050433	15
cg01053621	1
cg01055695	9
cg01056155	5
cg01056568	17
cg01057962	3
cg01058368	5
cg01062029	9
cg01063524	17
cg01063813	12
cg01064307	1
cg01064957	5
cg01065920	12
cg01069256	8
cg01071811	20
cg01072821	8
cg01074640	9
cg01076838	19
cg01078276	10
cg01078434	6
cg01078689	*
cg01078871	14
cg01079126	X
cg01080862	X
cg01081263	11
cg01082679	12
cg01086868	X
cg01086895	11
cg01086978	8
cg01087382	6
cg01087710	16
cg01090445	3
cg01091448	5
cg01091565	15
cg01092036	11
cg01092561	8
cg01095395	3
cg01095482	1
cg01095590	1
cg01097940	12
cg01100784	16
cg01100796	1
cg01103730	1
cg01103836	19
cg01104423	7
cg01106788	18
cg01107031	19
cg01107741	17
cg01108476	6
cg01109219	2
cg01110312	12
cg01110846	16
cg01112452	X
cg01112778	5
cg01114088	4
cg01116966	5
cg01117627	14
cg01119135	1
cg01120165	22
cg01120307	9
cg01120308	11
cg01120761	12
cg01120898	3
cg01124420	2
cg01124961	8
cg01125463	6
cg01126560	9
cg01127428	12
cg01128603	11
cg01129459	14
cg01129847	19
cg01130192	9
cg01131735	17
cg01134491	1
cg01135200	6
cg01135626	X
cg01136458	8
cg01137065	17
cg01137198	12
cg01137532	10
cg01137708	4
cg01137737	16
cg01138020	17
cg01139059	2
cg01139966	1
cg01140782	X
cg01141769	21
cg01143454	20
cg01144251	19
cg01144286	20
cg01145389	1
cg01145396	2
cg01146980	5
cg01148741	2
cg01150454	2
cg01151686	17
cg01151699	22
cg01152019	2
cg01152499	1
cg01154193	1
cg01154537	10
cg01154775	4
cg01155039	14
cg01160766	17
cg01161216	16
cg01161597	8
cg01161611	2
cg01166674	7
cg01168201	17
cg01169610	2
cg01169624	7
cg01169726	7
cg01169778	9
cg01171588	4
cg01171858	16
cg01172484	X
cg01172656	10
cg01172735	1
cg01172899	2
cg01172972	1
cg01173186	6
cg01173291	15
cg01176271	15
cg01177524	6
cg01177956	7
cg01182585	7
cg01182697	1
cg01182873	7
cg01183669	1
cg01184449	2
cg01184522	1
cg01185080	15
cg01185754	1
cg01186777	19
cg01190915	16
cg01191395	17
cg01192900	11
cg01192952	19
cg01193293	19
cg01194444	1
cg01195014	X
cg01195053	16
cg01195127	2
cg01197831	9
cg01199721	12
cg01200060	20
cg01200177	2
cg01204271	17
cg01204439	7
cg01204985	19
cg01206472	22
cg01206970	19
cg01211097	16
cg01214209	*
cg01214321	8
cg01214847	21
cg01215061	X
cg01216369	3
cg01220033	9
cg01221484	19
cg01221637	20
cg01222684	5
cg01226811	12
cg01226883	1
cg01227519	*
cg01227741	7
cg01228636	10
cg01228667	X
cg01230160	2
cg01231779	14
cg01234063	11
cg01234133	17
cg01236137	5
cg01237132	20
cg01240931	5
cg01241375	9
cg01241836	X
cg01242619	8
cg01243790	2
cg01244871	8
cg01245595	21
cg01245656	7
cg01246254	10
cg01246405	11
cg01248426	8
cg01249910	17
cg01251255	7
cg01252496	19
cg01253107	9
cg01253545	22
cg01254459	14
cg01254505	19
cg01255349	12
cg01255591	20
cg01257202	X
cg01259619	1
cg01260219	11
cg01261503	17
cg01261535	16
cg01262913	21
cg01263716	11
cg01264826	2
cg01265637	20
cg01267315	1
cg01269048	6
cg01269795	6
cg01272601	2
cg01273150	12
cg01274324	21
cg01274660	7
cg01275830	10
cg01277844	1
cg01278291	5
cg01278696	4
cg01280080	2
cg01281797	1
cg01281904	8
cg01282074	5
cg01282432	14
cg01283289	12
cg01284306	21
cg01284619	19
cg01288067	9
cg01288089	4
cg01288598	6
cg01289103	17
cg01291404	12
cg01292265	20
cg01293143	20
cg01293647	17
cg01294695	15
cg01294702	17
cg01295203	8
cg01297972	18
cg01299496	15
cg01301664	5
cg01302245	11
cg01305421	12
cg01305547	4
cg01305625	5
cg01306510	6
cg01307730	6
cg01308501	3
cg01308601	12
cg01309152	21
cg01309153	9
cg01309671	X
cg01311051	16
cg01311285	4
cg01313514	1
cg01313949	6
cg01313966	18
cg01316071	14
cg01316516	11
cg01316789	20
cg01316819	12
cg01318557	7
cg01320040	21
cg01320361	6
cg01320507	1
cg01321151	11
cg01322079	6
cg01322134	1
cg01322897	12
cg01324261	4
cg01325515	*
cg01328164	9
cg01331554	4
cg01333011	12
cg01333131	14
cg01333619	11
cg01333788	1
cg01334437	8
cg01335367	12
cg01337047	18
cg01340005	3
cg01342792	1
cg01343729	16
cg01344171	6
cg01344452	17
cg01344518	16
cg01346152	1
cg01346589	1
cg01346718	22
cg01347719	2
cg01348086	5
cg01348757	15
cg01350700	17
cg01351032	16
cg01352108	11
cg01352882	16
cg01353347	X
cg01353448	7
cg01354473	7
cg01355520	2
cg01355739	20
cg01356829	1
cg01357116	4
cg01357263	12
cg01359534	1
cg01360325	10
cg01360768	11
cg01361446	X
cg01361777	10
cg01362183	6
cg01366407	1
cg01366419	7
cg01367992	1
cg01369413	11
cg01369850	19
cg01369981	12
cg01371258	6
cg01371477	1
cg01372605	12
cg01372689	17
cg01373706	11
cg01374047	16
cg01375871	16
cg01375994	X
cg01376672	12
cg01377755	1
cg01377911	19
cg01381846	7
cg01382363	1
cg01385430	1
cg01386493	8
cg01389761	3
cg01390445	3
cg01395672	17
cg01399317	8
cg01400401	19
cg01401337	9
cg01401376	6
cg01402045	8
cg01402255	1
cg01403114	5
cg01404197	11
cg01404615	4
cg01405107	17
cg01405761	8
cg01407244	8
cg01407341	15
cg01407797	22
cg01408383	X
cg01408558	19
cg01409734	12
cg01410472	8
cg01411954	1
cg01412445	15
cg01413314	3
cg01413516	19
cg01414934	1
cg01416012	2
cg01418124	4
cg01419479	1
cg01419675	2
cg01419679	21
cg01419788	14
cg01420388	1
cg01421985	*
cg01422136	5
cg01422337	19
cg01423840	X
cg01424107	13
cg01425405	17
cg01425670	1
cg01426743	1
cg01427567	19
cg01428361	17
cg01428678	14
cg01429181	1
cg01429321	5
cg01429391	14
cg01429996	9
cg01430430	7
cg01430807	10
cg01431114	6
cg01432087	11
cg01437411	12
cg01438829	17
cg01439669	5
cg01439983	2
cg01441777	22
cg01442426	3
cg01442481	20
cg01442799	11
cg01442833	12
cg01443067	15
cg01443452	19
cg01443630	16
cg01446393	3
cg01446692	9
cg01446983	17
cg01447420	11
cg01447498	1
cg01447817	*
cg01449415	16
cg01449591	*
cg01450842	2
cg01454004	6
cg01454134	19
cg01457080	14
cg01457622	*
cg01457653	16
cg01459162	1
cg01459453	1
cg01459955	*
cg01460479	1
cg01461641	1
cg01462829	4
cg01462904	3
cg01464985	2
cg01465325	10
cg01465620	3
cg01465641	21
cg01466020	1
cg01466075	3
cg01468621	11
cg01468868	22
cg01469547	11
cg01470283	20
cg01471384	4
cg01471713	1
cg01472101	17
cg01473816	11
cg01474260	22
cg01476044	7
cg01478450	10
cg01479232	20
cg01481441	12
cg01481976	9
cg01482279	17
cg01483882	20
cg01484156	8
cg01485645	17
cg01485797	11
cg01485998	1
cg01488147	7
cg01489608	16
cg01490535	11
cg01491225	5
cg01491540	17
cg01492649	11
cg01493303	19
cg01493517	12
cg01494593	2
cg01494864	3
cg01495509	5
cg01497501	7
cg01497527	15
cg01497576	15
cg01498098	13
cg01500097	6
cg01500140	19
cg01500421	5
cg01500567	6
cg01505176	6
cg01505590	11
cg01507173	2
cg01508386	1
cg01510051	19
cg01511567	11
cg01512854	5
cg01513611	19
cg01513661	22
cg01514487	12
cg01515426	17
cg01515887	*
cg01517033	20
cg01517728	18
cg01519742	4
cg01520924	14
cg01521624	20
cg01522194	2
cg01522721	19
cg01522975	1
cg01525376	1
cg01526089	17
cg01527212	7
cg01528948	4
cg01530101	11
cg01531431	20
cg01532080	19
cg01532103	19
cg01532771	19
cg01533387	19
cg01535453	12
cg01536400	9
cg01536980	6
cg01538982	3
cg01539186	20
cg01541443	7
cg01541629	5
cg01543654	17
cg01545079	14
cg01545242	19
cg01546046	14
cg01546430	5
cg01546563	8
cg01549015	9
cg01550148	5
cg01555431	6
cg01556075	19
cg01557297	14
cg01557667	22
cg01557989	20
cg01558777	10
cg01560871	10
cg01561916	2
cg01564343	6
cg01565918	20
cg01566170	1
cg01566404	1
cg01567482	5
cg01568335	2
cg01568736	18
cg01570086	15
cg01570769	6
cg01570885	6
cg01572266	3
cg01573562	12
cg01578324	6
cg01578341	15
cg01579216	1
cg01580044	1
cg01580568	1
cg01580681	4
cg01580888	19
cg01581111	9
cg01584473	7
cg01585703	15
cg01585758	2
cg01587454	8
cg01589580	18
cg01592593	X
cg01593190	5
cg01593385	4
cg01593886	17
cg01594214	6
cg01594262	19
cg01594915	2
cg01598046	3
cg01598642	11
cg01599709	5
cg01600189	9
cg01600782	2
cg01601573	4
cg01602416	16
cg01602430	5
cg01602596	17
cg01603095	12
cg01605517	1
cg01605783	21
cg01605984	9
cg01606998	22
cg01607495	8
cg01610240	1
cg01610488	8
cg01611640	11
cg01612158	1
cg01614759	10
cg01615080	2
cg01615704	2
cg01617750	3
cg01618083	11
cg01618304	11
cg01618660	9
cg01618851	19
cg01620308	20
cg01620569	1
cg01620785	2
cg01623187	20
cg01623438	20
cg01625242	18
cg01626197	3
cg01626227	7
cg01628253	1
cg01628803	*
cg01630869	11
cg01632517	X
cg01632825	22
cg01634119	3
cg01635061	6
cg01636591	17
cg01637734	1
cg01638025	8
cg01638735	7
cg01639034	1
cg01639256	2
cg01643284	12
cg01643580	2
cg01643624	11
cg01644850	19
cg01646665	1
cg01651364	11
cg01651593	1
cg01651821	2
cg01653110	1
cg01653445	1
cg01654582	4
cg01655123	19
cg01655341	19
cg01655355	19
cg01656216	10
cg01656470	19
cg01656750	16
cg01656853	19
cg01656955	1
cg01657207	3
cg01657380	12
cg01657408	5
cg01657694	22
cg01658815	10
cg01661993	19
cg01662650	X
cg01663295	11
cg01663469	3
cg01663570	3
cg01663968	20
cg01664666	1
cg01665633	15
cg01667384	19
cg01667702	17
cg01668126	8
cg01668383	13
cg01668465	2
cg01669948	6
cg01671575	1
cg01671881	20
cg01673583	*
cg01675895	4
cg01677098	8
cg01677177	9
cg01678091	15
cg01678321	5
cg01678893	19
cg01679262	13
cg01680762	*
cg01680823	17
cg01683883	16
cg01684579	5
cg01684901	3
cg01685739	7
cg01687051	16
cg01687711	10
cg01692572	8
cg01692815	5
cg01693108	6
cg01693157	2
cg01693350	11
cg01697732	17
cg01697865	11
cg01699584	4
cg01703884	12
cg01704534	4
cg01705458	11
cg01705587	1
cg01708236	6
cg01708964	7
cg01712016	3
cg01713938	9
cg01714513	*
cg01714932	12
cg01716061	9
cg01716083	6
cg01717150	8
cg01717706	16
cg01718139	19
cg01718365	1
cg01718602	X
cg01720228	17
cg01720520	19
cg01722450	18
cg01722994	16
cg01723464	4
cg01723747	16
cg01724150	3
